Angle (degrees), Distance (meters), X, Y
0, 0.646066, 0, 0.646066
-1, 0.640932, -0.011217, 0.640834
-2, 0.66762, -0.0233645, 0.667211
-3, 0.659262, -0.0345992, 0.658353
-4, 0.66143, -0.0462674, 0.65981
-5, 0.65275, -0.057049, 0.650252
-6, 0.649222, -0.0680506, 0.645646
-7, 0.676466, -0.0826691, 0.671396
-8, 0.674178, -0.0940872, 0.667581
-9, 0.68985, -0.108215, 0.68131
-10, 0.683013, -0.118931, 0.672579
-11, 0.683206, -0.130721, 0.670584
-12, 0.677324, -0.14121, 0.66244
-13, 0.697784, -0.157397, 0.6798
-14, 0.677566, -0.164366, 0.657328
-15, 0.719751, -0.186792, 0.69509
1, 0.635447, 0.011121, 0.63535
2, 0.636213, 0.0222654, 0.635824
3, 0.633059, 0.033224, 0.632186
4, 0.649527, 0.0454348, 0.647936
5, 0.634371, 0.0554428, 0.631944
6, 0.638593, 0.0669364, 0.635075
7, 0.62518, 0.0764016, 0.620494
8, 0.628331, 0.0876889, 0.622182
9, 0.632592, 0.0992327, 0.624761
10, 0.625051, 0.108838, 0.615502
11, 0.616543, 0.117966, 0.605153
12, 0.625472, 0.1304, 0.611728
13, 0.63511, 0.14326, 0.618742
14, 0.639362, 0.155098, 0.620265
15, 0.621717, 0.16135, 0.600415
16, 0.644322, 0.178081, 0.619224
17, 0.650935, 0.190829, 0.622334
18, 0.613522, 0.1901, 0.583328
19, 0.630462, 0.205809, 0.595923
20, 0.6414, 0.219958, 0.602505
21, 0.634764, 0.228084, 0.592371
22, 0.645374, 0.242401, 0.598121
23, 0.636262, 0.249262, 0.585404
24, 0.658651, 0.268599, 0.601394
25, 0.648573, 0.274813, 0.587473
26, 0.644915, 0.283445, 0.579288
27, 0.646299, 0.294169, 0.575471
28, 0.675156, 0.317778, 0.595695

Pendents (m), Intersecció (b), Distància entre extrems (m), x_extrem_izq, y_extrem_izq, x_extrem_der, y_extrem_der
-0.207098, 0.64433, 0.515277, -0.186792, 0.619014, 0.317778, 0.514518
