Angle (degrees), Distance (meters), X, Y
0, 0.517264, 0, 0.517264
-1, 0.509436, -0.00891566, 0.509358
-2, 0.518384, -0.0181417, 0.518066
-3, 0.513977, -0.0269743, 0.513268
-4, 0.520258, -0.0363923, 0.518984
-5, 0.528852, -0.0462206, 0.526828
-6, 0.530438, -0.0555998, 0.527516
-7, 0.525056, -0.0641656, 0.52112
-8, 0.507209, -0.0707852, 0.502245
-9, 0.535166, -0.0839497, 0.52854
-10, 0.52766, -0.0918798, 0.519599
-11, 0.514709, -0.0984814, 0.5052
-12, 0.523142, -0.109066, 0.511647
-13, 0.528996, -0.119324, 0.515363
-14, 0.546448, -0.132559, 0.530126
-15, 0.542149, -0.1407, 0.523573
-16, 0.539855, -0.149208, 0.518826
-17, 0.545019, -0.159779, 0.521072
-18, 0.55048, -0.170566, 0.523388
-19, 0.551233, -0.179945, 0.521035
-20, 0.563808, -0.193349, 0.529619
-21, 0.565581, -0.203225, 0.527808
-22, 0.563279, -0.211567, 0.522038
-23, 0.568576, -0.222746, 0.523128
1, 0.509085, 0.00890951, 0.509007
2, 0.510324, 0.0178597, 0.510011
3, 0.519778, 0.0272788, 0.519062
4, 0.521424, 0.0364739, 0.520147
5, 0.515449, 0.0450492, 0.513477
6, 0.515492, 0.0540332, 0.512653
7, 0.510836, 0.0624278, 0.507007
8, 0.507525, 0.0708294, 0.502559
9, 0.506675, 0.0794805, 0.500402
10, 0.52598, 0.0915874, 0.517945
11, 0.522816, 0.100033, 0.513157
12, 0.524605, 0.109371, 0.513078
13, 0.520755, 0.117465, 0.507334
14, 0.510091, 0.123739, 0.494855
15, 0.513736, 0.133327, 0.496134
16, 0.514625, 0.142235, 0.494579
17, 0.523473, 0.153463, 0.500473
18, 0.545488, 0.169019, 0.518642
19, 0.532508, 0.173833, 0.503335
20, 0.514014, 0.176273, 0.482844
21, 0.535043, 0.192252, 0.49931
22, 0.534444, 0.200736, 0.495314
23, 0.524969, 0.205662, 0.483007
24, 0.522682, 0.213151, 0.477245
25, 0.561726, 0.238015, 0.508808
26, 0.560036, 0.24614, 0.503046
27, 0.551611, 0.251071, 0.49116
28, 0.565417, 0.266127, 0.498872
29, 0.566256, 0.275225, 0.494871

Pendents (m), Intersecció (b), Distància entre extrems (m), x_extrem_izq, y_extrem_izq, x_extrem_der, y_extrem_der
-0.0684516, 0.512432, 0.499136, -0.222746, 0.46368, 0.275225, 0.429593
