Angle (degrees), Distance (meters), X, Y,,,
0,0.518428,0,0.518428,,,
-1,0.51951,-0.00909197,0.519431,,,
-2,0.540815,-0.0189267,0.540483,,,
-3,0.517445,-0.0271564,0.516732,,,
-4,0.521999,-0.0365141,0.52072,,,
-5,0.510875,-0.0446494,0.50892,,,
-6,0.519056,-0.0544067,0.516196,,,
-7,0.521787,-0.0637661,0.517876,,,
-8,0.537748,-0.0750473,0.532486,,,
-9,0.515926,-0.0809316,0.509539,,,
-10,0.540348,-0.0940893,0.532094,,,
1,0.508205,0.0088941,0.508127,,,
2,0.525058,0.0183753,0.524736,,,
3,0.519612,0.0272701,0.518896,,,
4,0.485771,0.0339799,0.484581,,,
5,0.499995,0.0436985,0.498082,,,
6,0.507214,0.0531654,0.50442,,,
7,0.496193,0.0606383,0.492474,,,
8,0.50781,0.0708692,0.502841,,,
9,0.497541,0.0780476,0.491381,,,
10,0.504708,0.0878832,0.496997,,,
11,0.513705,0.0982893,0.504214,,,
12,0.500922,0.104433,0.489915,,,
13,0.514361,0.116023,0.501104,,,
14,0.51737,0.125505,0.501916,,,
15,0.499274,0.129573,0.482167,,,
16,0.517104,0.14292,0.496961,,,
17,0.497193,0.145758,0.475348,,,
18,0.516694,0.160097,0.491265,,,
19,0.527803,0.172297,0.498888,,,
20,0.512492,0.175751,0.481414,,,
21,0.512421,0.184124,0.478198,,,
22,0.519993,0.195308,0.48192,,,
23,0.522426,0.204666,0.480667,,,
24,0.538905,0.219767,0.492058,,,
25,0.5247,0.222326,0.47527,,,
26,0.529704,0.232809,0.475801,,,
27,0.539126,0.245389,0.480043,,,
28,0.513901,0.24188,0.453419,,,
29,0.541384,0.263135,0.473134,,,
30,0.544424,0.272899,0.471087,,,
31,0.534777,0.276121,0.457978,,,
32,0.530383,0.28176,0.449353,,,
33,0.559383,0.305415,0.468649,,,
34,0.554549,0.31086,0.459229,,,
35,0.551384,0.317029,0.451128,,,
36,0.541692,0.319166,0.43768,,,
37,0.566556,0.341775,0.451857,,,
38,0.540322,0.333442,0.425164,,,
39,0.582181,0.367235,0.451744,,,
40,0.557201,0.358991,0.426143,,,
41,0.584615,0.384421,0.440449,,,
42,0.592001,0.397024,0.439133,,,
,,,,,,
Pendents (m), Intersecció (b), Distància entre extrems (m), x_extrem_izq, y_extrem_izq, x_extrem_der, y_extrem_der
-0.187417,0.51373,0.499664,-0.0940893,0.467364,0.397024,0.375321
