Valores izquierda (0 a -179 grados):
Angle  Modulo  Coord_x Coord_y:
0 0.566744 0 0.566744
-0.111111 0.547738 -0.0010622 0.547737
-0.222222 0.539194 -0.00209127 0.53919
-0.333333 0.572112 -0.00332839 0.572102
-0.444444 0.538207 -0.00417484 0.53819
-0.555556 0.559971 -0.00542955 0.559945
-0.666667 0.551284 -0.00641433 0.551247
-0.777778 0.54325 -0.00737427 0.5432
-0.888889 0.553405 -0.0085852 0.553339
-1 0.560699 -0.00978554 0.560613
-1.11111 0.579308 -0.0112336 0.579199
-1.22222 0.557268 -0.0118866 0.557141
-1.33333 0.570454 -0.0132739 0.570299
-1.44444 0.585647 -0.0147628 0.585461
-1.55556 0.544114 -0.0147706 0.543913
-1.66667 0.56988 -0.0165748 0.569639
-1.77778 0.551848 -0.01712 0.551582
-1.88889 0.581135 -0.019155 0.580819
-2 0.571508 -0.0199453 0.57116
-2.11111 0.55989 -0.0206249 0.55951
-2.22222 0.556999 -0.0215979 0.55658
-2.33333 0.568862 -0.0231601 0.568391
-2.44444 0.546909 -0.023326 0.546411
-2.55556 0.567705 -0.0253129 0.56714
-2.66667 0.564167 -0.026248 0.563556
-2.77778 0.562235 -0.0272472 0.561574
-2.88889 0.590047 -0.0297379 0.589297
-3 0.560845 -0.0293523 0.560076
-3.11111 0.551885 -0.0299521 0.551071
-3.22222 0.582929 -0.0327657 0.582007
-3.33333 0.606955 -0.0352913 0.605928
-3.44444 0.55916 -0.0335947 0.55815
-3.55556 0.567958 -0.0352226 0.566864
-3.66667 0.570041 -0.0364551 0.568874
-3.77778 0.573512 -0.0377869 0.572266
-3.88889 0.572799 -0.0388483 0.57148
-4 0.586065 -0.0408818 0.584638
-4.11111 0.573562 -0.0411192 0.572086
-4.22222 0.568259 -0.0418381 0.566716
-4.33333 0.57152 -0.0431834 0.569887
-4.44444 0.580718 -0.0450012 0.578972
-4.55556 0.578671 -0.0459613 0.576843
-4.66667 0.561196 -0.0456581 0.559335
-4.77778 0.576693 -0.0480336 0.574689
-4.88889 0.582835 -0.0496714 0.580715
-5 0.575384 -0.050148 0.573194
-5.11111 0.582563 -0.051899 0.580246
-5.22222 0.571979 -0.0520609 0.569605
-5.33333 0.579951 -0.0539064 0.57744

Valors dreta (1 a 180 graus):
Angle  Modul  Coord_x Coord_y:
0.111111 0.563579 0.00109292 0.563578
0.222222 0.569391 0.00220838 0.569387
0.333333 0.535174 0.0031135 0.535165
0.444444 0.557681 0.0043259 0.557664
0.555556 0.557334 0.00540398 0.557308
0.666667 0.552269 0.00642579 0.552231
0.777778 0.540524 0.00733727 0.540474
0.888889 0.540158 0.0083797 0.540093
1 0.542546 0.00946873 0.542463
1.11111 0.555811 0.0107779 0.555707
1.22222 0.548219 0.0116936 0.548095
1.33333 0.542425 0.0126217 0.542278
1.44444 0.531253 0.0133916 0.531084
1.55556 0.538357 0.0146144 0.538159
1.66667 0.565455 0.0164461 0.565216
1.77778 0.550102 0.0170659 0.549838
1.88889 0.543747 0.0179226 0.543452
2 0.539166 0.0188166 0.538837
2.11111 0.535468 0.0197253 0.535104
2.22222 0.55565 0.0215455 0.555232
2.33333 0.559406 0.0227751 0.558942
2.44444 0.533762 0.0227653 0.533276
2.55556 0.541064 0.024125 0.540526
2.66667 0.540485 0.0251462 0.5399
2.77778 0.538647 0.0261041 0.538015
2.88889 0.5546 0.0279514 0.553895
3 0.550372 0.0288042 0.549617
3.11111 0.53386 0.0289739 0.533073
3.22222 0.541547 0.0304397 0.540691
3.33333 0.530836 0.0308653 0.529937
3.44444 0.542325 0.0325833 0.541346
3.55556 0.531095 0.0329365 0.530072
3.66667 0.531951 0.0340192 0.530862
3.77778 0.533363 0.0351416 0.532204
3.88889 0.525871 0.0356655 0.52466
4 0.529263 0.0369195 0.527973
4.11111 0.532588 0.0381817 0.531218
4.22222 0.532422 0.0391995 0.530977
4.33333 0.533241 0.0402911 0.531717
4.44444 0.53974 0.0418257 0.538117
4.55556 0.523891 0.0416104 0.522236
4.66667 0.518765 0.0422061 0.517046
4.77778 0.547869 0.0456328 0.545965
4.88889 0.52346 0.0446112 0.521556
5 0.525834 0.0458295 0.523833
5.11111 0.531405 0.0473416 0.529292
5.22222 0.542202 0.0493506 0.539951
5.33333 0.529968 0.0492604 0.527673
5.44444 0.546199 0.0518236 0.543735
5.55556 0.536125 0.0519027 0.533606
5.66667 0.530725 0.0524042 0.528131
5.77778 0.520944 0.0524436 0.518297
5.88889 0.529852 0.0543626 0.527056
6 0.532458 0.055657 0.529541
6.11111 0.526542 0.0560541 0.52355
6.22222 0.523843 0.0567767 0.520757
6.33333 0.524326 0.0578397 0.521126
6.44444 0.540661 0.0606836 0.537244
6.55556 0.543782 0.0620817 0.540227
6.66667 0.529775 0.0615031 0.526193
6.77778 0.530575 0.0626178 0.526867
6.88889 0.527995 0.06333 0.524183
7 0.535524 0.065264 0.531533
7.11111 0.50413 0.0624083 0.500253
7.22222 0.527369 0.0662998 0.523185
7.33333 0.524922 0.0670019 0.520628
7.44444 0.509242 0.0659798 0.504949
7.55556 0.518041 0.0681159 0.513543
7.66667 0.545836 0.0728197 0.540956
7.77778 0.517398 0.0700201 0.512638
7.88889 0.510616 0.0700833 0.505783
8 0.524969 0.0730615 0.51986
8.11111 0.511985 0.0722376 0.506863
8.22222 0.539994 0.0772261 0.534444
8.33333 0.49771 0.0721341 0.492455
8.44444 0.509066 0.0747565 0.503547
8.55556 0.522916 0.0777933 0.517097
8.66667 0.516666 0.0778543 0.510767
8.77778 0.499813 0.0762728 0.493959
8.88889 0.522762 0.0807766 0.516484
9 0.51999 0.0813444 0.513588
9.11111 0.501037 0.0793389 0.494715
9.22222 0.522197 0.0836894 0.515447
9.33333 0.512358 0.0830932 0.505576
9.44444 0.519218 0.0851991 0.51218
9.55556 0.516801 0.0857909 0.50963
9.66667 0.507174 0.0851626 0.499973
9.77778 0.509071 0.0864542 0.501676
9.88889 0.531777 0.0913263 0.523876
10 0.534021 0.0927318 0.525908
10.1111 0.518717 0.0910647 0.510661
10.2222 0.517367 0.0918153 0.509155
10.3333 0.515239 0.0924207 0.506882
10.4444 0.519666 0.0942062 0.511056
10.5556 0.510085 0.0934418 0.501453
10.6667 0.499871 0.0925236 0.491234
10.7778 0.531718 0.0994315 0.522339
10.8889 0.518159 0.0978828 0.508829
11 0.522375 0.0996739 0.512778
11.1111 0.514252 0.0991026 0.504612
11.2222 0.507625 0.0987913 0.497919
11.3333 0.513539 0.100919 0.503526
11.4444 0.507975 0.100791 0.497875
11.5556 0.530928 0.106354 0.520167
11.6667 0.527893 0.106749 0.516987
11.7778 0.49773 0.101595 0.487251
11.8889 0.505019 0.104041 0.494185
12 0.490403 0.101961 0.479687
12.1111 0.508345 0.106655 0.497031
12.2222 0.509727 0.107911 0.498173
12.3333 0.5189 0.110836 0.506925
12.4444 0.517161 0.111445 0.505011
12.5556 0.507771 0.110382 0.495628
12.6667 0.515541 0.113047 0.502994
12.7778 0.516321 0.114195 0.503534
12.8889 0.507426 0.113187 0.494642
13 0.508936 0.114486 0.495892
13.1111 0.499114 0.113219 0.486103
13.2222 0.504158 0.115315 0.490793
13.3333 0.504871 0.116431 0.491262
13.4444 0.517947 0.120424 0.503753
13.5556 0.51446 0.120583 0.500129
13.6667 0.512845 0.121171 0.498324
13.7778 0.505488 0.120385 0.490943
13.8889 0.504917 0.1212 0.490155
14 0.510563 0.123516 0.495397
14.1111 0.513379 0.125163 0.497887
14.2222 0.510645 0.125457 0.494994
14.3333 0.522416 0.129331 0.506155
14.4444 0.529433 0.132062 0.512697
14.5556 0.510135 0.128206 0.493762
14.6667 0.512531 0.12977 0.495831
14.7778 0.503048 0.128313 0.486408
14.8889 0.492155 0.126457 0.475632
15 0.523146 0.1354 0.50532
15.1111 0.493823 0.128736 0.476747
15.2222 0.49329 0.12952 0.475982
15.3333 0.509095 0.134622 0.490973
15.4444 0.510278 0.135889 0.491851
15.5556 0.508155 0.136273 0.489541
15.6667 0.499335 0.13484 0.480784
15.7778 0.523648 0.142384 0.503919
15.8889 0.504126 0.138016 0.484866
16 0.499259 0.137615 0.479919
16.1111 0.492225 0.136593 0.472893
16.2222 0.514113 0.143624 0.493643
16.3333 0.496443 0.139612 0.476407
16.4444 0.488528 0.138295 0.468545
16.5556 0.516052 0.147047 0.494659
16.6667 0.50269 0.144173 0.481572
16.7778 0.504944 0.145757 0.483449
16.8889 0.495822 0.144045 0.474437
17 0.502664 0.146965 0.4807
17.1111 0.507866 0.149427 0.485386
17.2222 0.512187 0.151648 0.489223
17.3333 0.498043 0.148382 0.475425
17.4444 0.504597 0.151269 0.48139
17.5556 0.51127 0.154215 0.487458
17.6667 0.492959 0.149602 0.46971
17.7778 0.51168 0.156229 0.487246
17.8889 0.492854 0.151391 0.469027
18 0.51239 0.158337 0.487312
18.1111 0.501832 0.156 0.476969
18.2222 0.508105 0.158886 0.482624
18.3333 0.502266 0.157985 0.476772
18.4444 0.509044 0.161054 0.482895
18.5556 0.504104 0.160418 0.477898
18.6667 0.490992 0.157148 0.465165
18.7778 0.510873 0.164449 0.483681
18.8889 0.495823 0.160515 0.469122
19 0.495136 0.161201 0.46816
19.1111 0.485191 0.158852 0.45845
19.2222 0.491403 0.161786 0.464007
19.3333 0.510207 0.168911 0.481436
19.4444 0.499131 0.166157 0.470663
19.5556 0.497875 0.166649 0.469157
19.6667 0.494843 0.166538 0.465977
19.7778 0.523816 0.177245 0.492917
19.8889 0.497254 0.169164 0.467595
20 0.485623 0.166093 0.456336
20.1111 0.501825 0.172548 0.471228
20.2222 0.480956 0.166248 0.451309
20.3333 0.496136 0.172398 0.46522
20.4444 0.518084 0.180966 0.48545
20.5556 0.501576 0.176111 0.469641
20.6667 0.503391 0.177662 0.470998
20.7778 0.4847 0.171945 0.453177
20.8889 0.508233 0.181214 0.474828
21 0.49608 0.177779 0.463131
21.1111 0.486026 0.175056 0.453406
21.2222 0.488018 0.176656 0.454923
21.3333 0.485532 0.176633 0.452264
21.4444 0.486201 0.177755 0.452542
21.5556 0.487556 0.17913 0.453458
21.6667 0.497385 0.183638 0.462243
21.7778 0.50766 0.188346 0.471428
21.8889 0.49333 0.183917 0.457765
22 0.479547 0.179641 0.444628
22.1111 0.500545 0.188407 0.463733
22.2222 0.508179 0.192193 0.470433
22.3333 0.496065 0.188502 0.458855
22.4444 0.488058 0.186334 0.451087
22.5556 0.506113 0.194134 0.4674
22.6667 0.477816 0.184135 0.44091
22.7778 0.497105 0.192458 0.458337
22.8889 0.507564 0.197415 0.467599
23 0.490086 0.191492 0.451126
23.1111 0.503138 0.19749 0.462759
23.2222 0.497584 0.196197 0.457271
23.3333 0.493596 0.195503 0.453227
23.4444 0.497972 0.198123 0.456862
23.5556 0.492891 0.196978 0.45182
23.6667 0.498074 0.199934 0.456184
23.7778 0.484547 0.195365 0.443417
23.8889 0.482408 0.195358 0.441081
24 0.502672 0.204455 0.459213
24.1111 0.493592 0.201636 0.450528
24.2222 0.482934 0.198137 0.440417
24.3333 0.488976 0.20148 0.445537
24.4444 0.509359 0.210778 0.463701
24.5556 0.495302 0.205835 0.450506
24.6667 0.506939 0.211565 0.460681
